"Var1","Var2","distance"
"ENCFF511HSJ","ENCFF016YOC",3.4956022319202
"ENCFF416HFS","ENCFF016YOC",1.96354198254364
"ENCFF923ZPC","ENCFF016YOC",2.01147711970075
"ENCFF258DPQ","ENCFF016YOC",5.03498670822943
"ENCFF080VML","ENCFF016YOC",4.6885516084788
"ENCFF902OZA","ENCFF016YOC",2.92263394014963
"ENCFF811KHK","ENCFF016YOC",2.45447364089776
"ENCFF948AOR","ENCFF016YOC",2.42630450124688
"ENCFF904WAE","ENCFF016YOC",1.72630195760599
"ENCFF709BYW","ENCFF016YOC",1.68964546134663
"ENCFF739ERP","ENCFF016YOC",1.61802104738155
"ENCFF443ABK","ENCFF016YOC",1.49137832917706
"ENCFF273IBF","ENCFF016YOC",3.34007326683292
"ENCFF802BJP","ENCFF016YOC",3.38024498753117
"ENCFF163CUI","ENCFF016YOC",2.51248706982544
"ENCFF411WKH","ENCFF016YOC",2.88112456359102
"ENCFF747NRM","ENCFF016YOC",2.22856013715711
"ENCFF389LEX","ENCFF016YOC",1.57854155860349
"ENCFF188HFB","ENCFF016YOC",2.11729716957606
"ENCFF103YQS","ENCFF016YOC",3.11214134663342
"ENCFF443KJS","ENCFF016YOC",1.34893123441397
"ENCFF219KHR","ENCFF016YOC",1.6861833042394
"ENCFF754XAQ","ENCFF016YOC",6.26588894014963
"ENCFF241AOZ","ENCFF016YOC",6.17132442643392
"ENCFF705SDK","ENCFF016YOC",3.86268448877806
"ENCFF853FGC","ENCFF016YOC",4.5487714713217
"ENCFF082VUD","ENCFF016YOC",3.95305421446384
"ENCFF076GHL","ENCFF016YOC",4.164203840399
"ENCFF127WMZ","ENCFF016YOC",2.91503456359102
"ENCFF540HIX","ENCFF016YOC",3.53812036159601
"ENCFF259HTD","ENCFF016YOC",2.8777316084788
"ENCFF825AVT","ENCFF016YOC",1.96174890274314
"ENCFF733BEV","ENCFF016YOC",1.70392452618454
"ENCFF193VAQ","ENCFF016YOC",2.59584653366584
"ENCFF787HQF","ENCFF016YOC",3.38959936408978
"ENCFF715LJJ","ENCFF016YOC",2.22192498753117
"ENCFF502OYV","ENCFF016YOC",4.609636159601
"ENCFF766DUS","ENCFF016YOC",4.43484701995012
"ENCFF454MWQ","ENCFF016YOC",6.30721132169576
"ENCFF372VPV","ENCFF016YOC",3.1745563840399
"ENCFF683EWG","ENCFF016YOC",2.56503122194514
"ENCFF790BKB","ENCFF016YOC",2.6935285286783
"ENCFF669TNM","ENCFF016YOC",2.07426436408978
"ENCFF856EHA","ENCFF016YOC",3.74088506234414
"ENCFF674TKN","ENCFF016YOC",4.07434683291771
"ENCFF302ROS","ENCFF016YOC",3.1646075436409
"ENCFF763ZLD","ENCFF016YOC",2.58872709476309
"ENCFF518MSP","ENCFF016YOC",2.44378
"ENCFF361GRY","ENCFF016YOC",2.66443013715711
"ENCFF288IBH","ENCFF016YOC",2.412771159601
"AKAP1_HepG2_rep2","ENCFF016YOC",1.54058987531172
"AKAP1_K562_rep2","ENCFF016YOC",1.90425978802993
"APOBEC3C_K562_rep1","ENCFF016YOC",3.59327021197008
"CPSF6_K562_rep2","ENCFF016YOC",3.05474597256858
"DDX55_HepG2_rep1","ENCFF016YOC",2.97507899002494
"DDX55_K562_rep1","ENCFF016YOC",3.48641296758105
"DDX6_K562_rep2","ENCFF016YOC",2.74086857855362
"FAM120A_HepG2_rep2","ENCFF016YOC",1.89359739401496
"FAM120A_K562_rep2","ENCFF016YOC",2.44099246882793
"FUBP3_HepG2_rep2","ENCFF016YOC",3.1660628553616
"FUS_K562_rep1","ENCFF016YOC",1.81492548628429
"GRSF1_HepG2_rep1","ENCFF016YOC",1.51040728179551
"HNRNPK_HepG2_rep1","ENCFF016YOC",5.52565948877805
"HNRNPK_K562_rep2","ENCFF016YOC",5.95762091022444
"IGF2BP1_HepG2_rep1","ENCFF016YOC",3.75086410224439
"IGF2BP1_K562_rep1","ENCFF016YOC",4.21222206982544
"IGF2BP2_K562_rep2","ENCFF016YOC",3.94273988778055
"IGF2BP3_HepG2_rep2","ENCFF016YOC",3.60306127182045
"KHSRP_K562_rep1","ENCFF016YOC",2.82884139650873
"LARP4_HepG2_rep2","ENCFF016YOC",3.94254701995012
"LARP4_K562_rep1","ENCFF016YOC",3.03130140897756
"LSM11_HepG2_rep2","ENCFF016YOC",2.40897067331671
"LSM11_K562_rep2","ENCFF016YOC",2.77382683291771
"NOLC1_K562_rep1","ENCFF016YOC",2.77918172069825
"PABPC4_K562_rep2","ENCFF016YOC",3.67301356608479
"PABPN1_HepG2_rep2","ENCFF016YOC",2.34294416458853
"PCBP1_HepG2_rep2","ENCFF016YOC",5.05657123441396
"PCBP1_K562_rep1","ENCFF016YOC",5.03136602244389
"PCBP2_HepG2_rep2","ENCFF016YOC",6.46487557356609
"PUM2_K562_rep2","ENCFF016YOC",3.46537193266833
"SLBP_K562_rep1","ENCFF016YOC",3.24949913965087
"SUB1_HepG2_rep1","ENCFF016YOC",3.09593255610973
"TARDBP_K562_rep2","ENCFF016YOC",2.05625582294264
"TIA1_HepG2_rep1","ENCFF016YOC",3.68673198254364
"TIA1_K562_rep1","ENCFF016YOC",3.70469670822943
"TIAL1_HepG2_rep1","ENCFF016YOC",3.36113135910224
"UPF1_HepG2_rep1","ENCFF016YOC",1.36959867830424
"UPF1_K562_rep1","ENCFF016YOC",1.64636451371571
"ZC3H11A_HepG2_rep1","ENCFF016YOC",3.00850711970075
"ZC3H11A_K562_rep2","ENCFF016YOC",2.75928943890274
"ENCFF780HTF","ENCFF943EZJ",3.27570617206983
"ENCFF016YOC","ENCFF943EZJ",2.71295497506234
"ENCFF943EZJ","ENCFF943EZJ",0
"ENCFF751GZQ","ENCFF943EZJ",0.754803628428928
"ENCFF145NQB","ENCFF943EZJ",1.81237708229426
"ENCFF162LAM","ENCFF943EZJ",0.839545211970075
"ENCFF515CUN","ENCFF943EZJ",2.39651715710723
"ENCFF704TQZ","ENCFF943EZJ",1.92664362842893
"ENCFF184QYU","ENCFF943EZJ",2.87588624688279
"ENCFF149SFF","ENCFF943EZJ",1.5073599127182
"ENCFF210ZRQ","ENCFF943EZJ",3.21536067331671
"ENCFF059PZS","ENCFF943EZJ",2.61606199501247
"ENCFF198ISB","ENCFF943EZJ",1.90607978802993
"ENCFF894NKS","ENCFF943EZJ",1.90645928927681
"ENCFF427IMN","ENCFF943EZJ",2.16310630922693
"ENCFF544NQL","ENCFF943EZJ",1.63245331670823
"ENCFF589JKO","ENCFF943EZJ",1.90012841645885
"ENCFF270FPU","ENCFF943EZJ",2.51865786783042
"ENCFF698TGL","ENCFF943EZJ",2.03924266832918
"ENCFF202RTW","ENCFF943EZJ",1.05158344139651
"ENCFF685FNB","ENCFF943EZJ",1.6957441521197
"ENCFF252SPM","ENCFF943EZJ",1.15234486284289
"ENCFF938CFK","ENCFF943EZJ",2.57562421446384
"ENCFF102JHG","ENCFF943EZJ",1.53440187032419
"ENCFF551NSA","ENCFF943EZJ",1.54108093516209
"ENCFF974AOE","ENCFF943EZJ",1.77977864089776
"ENCFF138HUE","ENCFF943EZJ",2.02983435162095
"ENCFF041ETC","ENCFF943EZJ",1.51007769326683
"ENCFF803QKO","ENCFF943EZJ",2.76144403990025
"ENCFF231WHF","ENCFF943EZJ",2.79026971321696
"ENCFF511HSJ","ENCFF943EZJ",1.98217344139651
"ENCFF416HFS","ENCFF943EZJ",1.31436603491272
"ENCFF923ZPC","ENCFF943EZJ",2.02982967581047
"ENCFF258DPQ","ENCFF943EZJ",2.32610395261845
"ENCFF080VML","ENCFF943EZJ",2.01310498753117
"ENCFF902OZA","ENCFF943EZJ",0.713141783042394
"ENCFF811KHK","ENCFF943EZJ",4.1412079925187
"ENCFF948AOR","ENCFF943EZJ",4.72031426433915
"ENCFF904WAE","ENCFF943EZJ",1.52023940149626
"ENCFF709BYW","ENCFF943EZJ",1.77103547381546
"ENCFF739ERP","ENCFF943EZJ",3.00992430174564
"ENCFF443ABK","ENCFF943EZJ",2.31865440149626
"ENCFF273IBF","ENCFF943EZJ",0.750279264339152
"ENCFF802BJP","ENCFF943EZJ",0.944045074812968
"ENCFF163CUI","ENCFF943EZJ",1.56426386533666
"ENCFF411WKH","ENCFF943EZJ",1.46668312967581
"ENCFF747NRM","ENCFF943EZJ",1.35306645885287
"ENCFF389LEX","ENCFF943EZJ",1.74085725685786
"ENCFF188HFB","ENCFF943EZJ",2.06858740648379
"ENCFF103YQS","ENCFF943EZJ",1.13966699501247
"ENCFF443KJS","ENCFF943EZJ",2.43424199501247
"ENCFF219KHR","ENCFF943EZJ",3.45046608478803
"ENCFF754XAQ","ENCFF943EZJ",4.15786942643392
"ENCFF241AOZ","ENCFF943EZJ",4.07609788029925
"ENCFF705SDK","ENCFF943EZJ",2.05267315461347
"ENCFF853FGC","ENCFF943EZJ",1.98081048628429
"ENCFF082VUD","ENCFF943EZJ",2.05008637157107
"ENCFF076GHL","ENCFF943EZJ",2.15343096009975
"ENCFF127WMZ","ENCFF943EZJ",0.891747219451371
"ENCFF540HIX","ENCFF943EZJ",1.33867511221945
"ENCFF259HTD","ENCFF943EZJ",0.525421496259352
"ENCFF825AVT","ENCFF943EZJ",1.83604689526185
"ENCFF733BEV","ENCFF943EZJ",1.3915212967581
"ENCFF193VAQ","ENCFF943EZJ",0.665981433915212
"ENCFF787HQF","ENCFF943EZJ",1.57875568578554
"ENCFF715LJJ","ENCFF943EZJ",1.90315534912718
"ENCFF502OYV","ENCFF943EZJ",2.42356041147132
"ENCFF766DUS","ENCFF943EZJ",2.18609773067332
"ENCFF454MWQ","ENCFF943EZJ",3.98607485037406
