"file","protein","cell","input"
"ENCFF701PJM","KHSRP","HepG2",FALSE
"ENCFF698BKX","QKI","K562",FALSE
"ENCFF012WMS","QKI","K562",FALSE
"ENCFF155TML","PRPF4","HepG2",TRUE
"ENCFF125BMO","SMNDC1","HepG2",FALSE
"ENCFF110YDG","SMNDC1","HepG2",FALSE
"ENCFF369GNR","SUPV3L1","HepG2",TRUE
"ENCFF854OMC","APOBEC3C","K562",TRUE
"ENCFF386UIG","PTBP1","HepG2",FALSE
"ENCFF295MQP","PTBP1","HepG2",FALSE
"ENCFF399CRA","CSTF2","HepG2",FALSE
"ENCFF616EZQ","CSTF2","HepG2",FALSE
"ENCFF444SAJ","UTP18","HepG2",TRUE
"ENCFF819GBX","IGF2BP2","K562",TRUE
"ENCFF263MRM","SMNDC1","HepG2",TRUE
"ENCFF447LJU","FUS","K562",TRUE
"ENCFF539YZX","CSTF2T","HepG2",TRUE
"ENCFF333OLY","GPKOW","K562",TRUE
"ENCFF999MGM","LIN28B","K562",TRUE
"ENCFF873AEV","WDR43","K562",TRUE
"ENCFF416HFS","SUB1","HepG2",FALSE
"ENCFF228FAK","SUB1","HepG2",FALSE
"ENCFF497DMS","FXR2","K562",TRUE
"ENCFF050PTL","HNRNPM","K562",FALSE
"ENCFF379LZD","HNRNPM","K562",FALSE
"ENCFF646LJL","RBM5","HepG2",TRUE
"ENCFF696LDT","KHSRP","HepG2",TRUE
"ENCFF696TJG","SRSF1","K562",FALSE
"ENCFF664EPV","SRSF1","K562",FALSE
"ENCFF438IIB","SND1","K562",TRUE
"ENCFF698TGL","KHSRP","K562",FALSE
"ENCFF394THC","KHSRP","K562",FALSE
"ENCFF098RFI","ILF3","K562",FALSE
"ENCFF889XJU","ILF3","K562",FALSE
"ENCFF895BNM","PTBP1","HepG2",TRUE
"ENCFF794ILP","MATR3","HepG2",TRUE
"ENCFF786ZZB","PUM2","K562",TRUE
"ENCFF162SAS","MATR3","K562",FALSE
"ENCFF014KBZ","MATR3","K562",FALSE
"ENCFF791AGL","PTBP1","K562",TRUE
